topic,top_words,document_count,mean,std
13,jews jewish jew israel kike anti holocaust kikes zionist goyim goy control red controlled semitic rabbi media lies semitism lie,36592,0.55,0.8255779474818966
28,white people whites race non black blacks racist hate want racial just think anti like country races america culture genocide,173925,0.5238095238095238,0.749603069567329
25,eu russia russian europe france french european turks country sweden poland italy greece greek polish germany turkey countries russians serbs,45120,0.2,0.8944271909999157
6,national state people government power nation political socialism society right fascism rights fascist socialist communism movement freedom states social ideology,141206,0.2,0.7677718959499146
15,war hitler germany german did germans nazi world army nazis history soldiers soviet civil died fought holocaust killed reich ww2,88041,0.16666666666666666,0.8681147322824311
9,black crime gun kill blacks killed africa rape guns people death killing south murder violence negro crimes violent shot cops,43927,0.15,0.8750939799154206
8,european culture english europeans europe hair irish people history aryan language eyes like american africa african ancient south blue north,107813,0.05263157894736842,0.8682809490846759
21,world muslims europe muslim israel china countries islam america west chinese western country east usa middle japan islamic problem arabs,58573,0.05,0.9445132413883326
19,media people news anti group speech public british uk tv britain groups hate article political ireland don bnp propaganda nazi,92136,0.05,0.9445132413883327
16,niggers country pic illegal immigration canada related immigrants mexico mexican refugees border mexicans shitskins canadian wall americans america california spics,36198,0.0,0.9176629354822471
23,fucking shit fuck just got like yeah oh dont ass fucked lol stupid faggot dumb did dude bitch want ca,179698,-0.14285714285714285,0.8535639569308375
2,children child gay sex sexual porn birth mental drugs brain baby drug health mentally cancer degenerate abortion parents marriage disease,58394,-0.15,0.9333020044867295
14,quote posted originally flag picture desu symbol australia 88 flags swastika photo 14 art cross wear 2508 image red australian,32970,-0.15,0.8750939799154206
29,people does just think point fact way like believe things make say time simply understand different world human know sense,242128,-0.17073170731707318,0.8916961092320143
4,years 10 000 year iq 20 million team 50 30 15 100 12 population 11 percent http mini 40 18,36455,-0.2,0.9514531821875087
17,money people work pay government job make free jobs business just working buy economy tax need time market rich welfare,162108,-0.2391304347826087,0.873938279252047
10,pol just retarded like fucking meme right shit faggot literally muh stop shill retard anon people alt faggots bullshit kike,236505,-0.25,0.8469895538599198
0,god nigger christian religion christianity church jesus christians christ catholic bible religious faith believe worship pagan gods lord holy man,67546,-0.25,0.9665456669582608
24,like just know think people really did good ve say thing does time want going got sure bad way actually,516944,-0.2542372881355932,0.9019752336033947
20,women men woman white man kids children girl like girls family wife young male mother black female old father want,111287,-0.3,0.8645047258706176
7,time ll life day going let just na hope come world fight need way people long good end live gon,241301,-0.3333333333333333,0.8022955570857538
11,like food eat water dog just dogs drink eating meat use good make day little used feet house clean fat,102615,-0.35,0.9333020044867296
3,said police year old court told years man home quote case mr city car arrested law time house day went,90072,-0.37037037037037035,0.9260398790278189
1,youtube gas earth space sun light energy moon star metal planet ship climate building nuclear m8 global coal ice sea,30294,-0.5,0.8271701918685112
27,post thread read posts thanks stormfront forum reading site posting book link just new video welcome good ve thank ll,131472,-0.5454545454545454,0.8004327833694973
5,school new music university students american york john college schools state david city washington high teacher george student movie dr,40399,-0.55,0.6863327411532597
18,trump right vote party obama left president election wing win support voting hillary democrats republican voted going conservative clinton donald,98807,-0.65,0.6708203932499369
22,use internet computer using google just windows creme used need new email phone like linux data free game search does,87725,-0.7096774193548387,0.6425754631219991
26,military israel government israeli syria attack iran al iraq security united said weapons states forces isis army terrorist attacks fbi,59773,-0.75,0.44426165831931924
12,die der afd und das ist ich embed merkel nicht den von es zu mit ein du sie auf spd,37930,-0.85,0.48936048492959283
